Id,Nombre,Localidad,Ano,NoFamilias,NoPersonas,Ano_1,ExistenDesplazados,PorcentajeDesplazamiento,Fecha,Alcantarillado,Electricidad,Colegio,CAI,Gas,HospitalPublico,Transporte,IntervencionTecho,Coordenada,poligono,poligono_geojson
55,Girardot,Santafé,1900,80,,1900,Si,Menos del 50%,2015-12-09T16:37:30.686Z,No,Si,Si,Si,No,No,Si,No,POINT (-74.0720038888889 4.58412444444444),"POLYGON((-74.0727854 4.584125,-74.0728364 4.5843416,-74.072831 4.5845394,-74.0728122 4.584625,-74.0727613 4.5846892,-74.072536 4.5849298,-74.0724448 4.5848844,-74.0723898 4.5848149,-74.0722651 4.5849966,-74.0720451 4.5848041,-74.0719083 4.5846357,-74.0716937 4.5845314,-74.0716173 4.5844779,-74.0714014 4.584494,-74.0712941 4.5844593,-74.0711868 4.5845341,-74.0710446 4.5844458,-74.0710004 4.5845087,-74.0708066 4.5844144,-74.0706936 4.5844796,-74.0706559 4.5844427,-74.070747 4.5843627,-74.070822 4.5843254,-74.0708783 4.5843281,-74.0709065 4.5841824,-74.0709072 4.5840588,-74.0710714 4.5839164,-74.0711211 4.5836598,-74.0712666 4.5837186,-74.0713987 4.5835422,-74.0716213 4.5837508,-74.0719968 4.583232,-74.0721363 4.583208,-74.0724957 4.5833203,-74.0725803 4.5833263,-74.0726351 4.5834593,-74.0725708 4.583486,-74.0725091 4.5835742,-74.0726298 4.583601,-74.0727344 4.5837561,-74.0726915 4.5838336,-74.0727586 4.5839004,-74.0726861 4.5840101,-74.0727854 4.584125))","{""type"":""Polygon"",""coordinates"":[[[-74.0727854,4.584125],[-74.0728364,4.5843416],[-74.072831,4.5845394],[-74.0728122,4.584625],[-74.0727613,4.5846892],[-74.072536,4.5849298],[-74.0724448,4.5848844],[-74.0723898,4.5848149],[-74.0722651,4.5849966],[-74.0720451,4.5848041],[-74.0719083,4.5846357],[-74.0716937,4.5845314],[-74.0716173,4.5844779],[-74.0714014,4.584494],[-74.0712941,4.5844593],[-74.0711868,4.5845341],[-74.0710446,4.5844458],[-74.0710004,4.5845087],[-74.0708066,4.5844144],[-74.0706936,4.5844796],[-74.0706559,4.5844427],[-74.070747,4.5843627],[-74.070822,4.5843254],[-74.0708783,4.5843281],[-74.0709065,4.5841824],[-74.0709072,4.5840588],[-74.0710714,4.5839164],[-74.0711211,4.5836598],[-74.0712666,4.5837186],[-74.0713987,4.5835422],[-74.0716213,4.5837508],[-74.0719968,4.583232],[-74.0721363,4.583208],[-74.0724957,4.5833203],[-74.0725803,4.5833263],[-74.0726351,4.5834593],[-74.0725708,4.583486],[-74.0725091,4.5835742],[-74.0726298,4.583601],[-74.0727344,4.5837561],[-74.0726915,4.5838336],[-74.0727586,4.5839004],[-74.0726861,4.5840101],[-74.0727854,4.584125]]]}"
56,Malvinas tercer sector,San Cristobal,1983,60,300,1983,Si,Menos del 50%,2015-12-09T16:27:57.296Z,Si,Si,No,Si,No,Si,Si,No,POINT (-74.1006208333333 4.55196861111111),"POLYGON((-74.1020858 4.5532493,-74.1019624 4.5533616,-74.101823 4.5535808,-74.1014706 4.5539875,-74.1016238 4.5541315,-74.1013282 4.5544412,-74.101521 4.554564,-74.101226 4.554813,-74.1008826 4.555076,-74.1006519 4.5549455,-74.0980125 4.5522696,-74.0997201 4.5506558,-74.0996718 4.5505969,-74.1005784 4.5496611,-74.1012999 4.5490672,-74.1014689 4.5489291,-74.1019986 4.548737,-74.1022652 4.5484537,-74.102318 4.5485099,-74.1022313 4.5486196,-74.1022387 4.5488979,-74.1021368 4.5491779,-74.1021582 4.5493741,-74.1019973 4.5497346,-74.1019329 4.54991,-74.102287 4.550293,-74.1021973 4.5508816,-74.1021827 4.5514661,-74.1023574 4.551555,-74.1021703 4.5518076,-74.101839 4.552163,-74.1022521 4.5523777,-74.1021878 4.5525488,-74.1020805 4.5527092,-74.1019517 4.552875,-74.1019517 4.5529605,-74.1019517 4.5530407,-74.102 4.5531156,-74.1020858 4.5532493))","{""type"":""Polygon"",""coordinates"":[[[-74.1020858,4.5532493],[-74.1019624,4.5533616],[-74.101823,4.5535808],[-74.1014706,4.5539875],[-74.1016238,4.5541315],[-74.1013282,4.5544412],[-74.101521,4.554564],[-74.101226,4.554813],[-74.1008826,4.555076],[-74.1006519,4.5549455],[-74.0980125,4.5522696],[-74.0997201,4.5506558],[-74.0996718,4.5505969],[-74.1005784,4.5496611],[-74.1012999,4.5490672],[-74.1014689,4.5489291],[-74.1019986,4.548737],[-74.1022652,4.5484537],[-74.102318,4.5485099],[-74.1022313,4.5486196],[-74.1022387,4.5488979],[-74.1021368,4.5491779],[-74.1021582,4.5493741],[-74.1019973,4.5497346],[-74.1019329,4.54991],[-74.102287,4.550293],[-74.1021973,4.5508816],[-74.1021827,4.5514661],[-74.1023574,4.551555],[-74.1021703,4.5518076],[-74.101839,4.552163],[-74.1022521,4.5523777],[-74.1021878,4.5525488],[-74.1020805,4.5527092],[-74.1019517,4.552875],[-74.1019517,4.5529605],[-74.1019517,4.5530407],[-74.102,4.5531156],[-74.1020858,4.5532493]]]}"
57,Cambuches Río Fucha,Antonio Nariño,1967,10,30,1967,Si,Menos del 50%,2015-12-09T16:29:00.873Z,No,No,Si,Si,No,No,Si,No,POINT (-74.1030672222222 4.59367138888889),"POLYGON((-74.1070694 4.5965413,-74.1058087 4.5959691,-74.1050792 4.5956322,-74.1037166 4.5949745,-74.1034269 4.5948409,-74.1032231 4.5946965,-74.1030782 4.59452,-74.102338 4.5936805,-74.1016728 4.592964,-74.1013134 4.5925095,-74.100852 4.5919052,-74.100455 4.5913705,-74.0994787 4.5899428,-74.0996772 4.5896648,-74.1008842 4.5915149,-74.1014153 4.5922261,-74.101721 4.5926539,-74.1029763 4.5940495,-74.1034323 4.5944719,-74.1037059 4.5946216,-74.1041136 4.5948248,-74.1046071 4.5950601,-74.1048914 4.5952365,-74.1052938 4.5953863,-74.1058302 4.5956376,-74.1064847 4.5959317,-74.107241 4.5962525,-74.1070694 4.5965413))","{""type"":""Polygon"",""coordinates"":[[[-74.1070694,4.5965413],[-74.1058087,4.5959691],[-74.1050792,4.5956322],[-74.1037166,4.5949745],[-74.1034269,4.5948409],[-74.1032231,4.5946965],[-74.1030782,4.59452],[-74.102338,4.5936805],[-74.1016728,4.592964],[-74.1013134,4.5925095],[-74.100852,4.5919052],[-74.100455,4.5913705],[-74.0994787,4.5899428],[-74.0996772,4.5896648],[-74.1008842,4.5915149],[-74.1014153,4.5922261],[-74.101721,4.5926539],[-74.1029763,4.5940495],[-74.1034323,4.5944719],[-74.1037059,4.5946216],[-74.1041136,4.5948248],[-74.1046071,4.5950601],[-74.1048914,4.5952365],[-74.1052938,4.5953863],[-74.1058302,4.5956376],[-74.1064847,4.5959317],[-74.107241,4.5962525],[-74.1070694,4.5965413]]]}"
58,El Dorado,Santafé,1960,150,300,1960,Si,Menos del 50%,2015-12-09T16:35:38.983Z,Si,Si,No,No,No,No,Si,No,POINT (-74.0728097222222 4.58517083333333),"POLYGON((-74.0722973 4.5857399,-74.0723375 4.5856516,-74.0721537 4.5855581,-74.0722463 4.5854458,-74.0722623 4.5853682,-74.0722731 4.5851624,-74.0722865 4.5850582,-74.0724341 4.5850875,-74.0725252 4.5849819,-74.0729195 4.5846056,-74.0732454 4.5847623,-74.073175 4.5849075,-74.0728578 4.5851009,-74.0727371 4.5851811,-74.0727103 4.5852292,-74.0727076 4.585296,-74.0727237 4.5853977,-74.0727344 4.585526,-74.0727157 4.5855821,-74.072662 4.5856222,-74.0725064 4.5856971,-74.0722973 4.5857399))","{""type"":""Polygon"",""coordinates"":[[[-74.0722973,4.5857399],[-74.0723375,4.5856516],[-74.0721537,4.5855581],[-74.0722463,4.5854458],[-74.0722623,4.5853682],[-74.0722731,4.5851624],[-74.0722865,4.5850582],[-74.0724341,4.5850875],[-74.0725252,4.5849819],[-74.0729195,4.5846056],[-74.0732454,4.5847623],[-74.073175,4.5849075],[-74.0728578,4.5851009],[-74.0727371,4.5851811],[-74.0727103,4.5852292],[-74.0727076,4.585296],[-74.0727237,4.5853977],[-74.0727344,4.585526],[-74.0727157,4.5855821],[-74.072662,4.5856222],[-74.0725064,4.5856971],[-74.0722973,4.5857399]]]}"
59,Santa Rosa de Lima,Santafé,1970,70,200,1970,No,Más del 50%,2015-12-09T16:37:05.730Z,Si,Si,No,Si,Si,Si,Si,No,POINT (-74.0717 4.58501527777778),"POLYGON((-74.0722651 4.5849966,-74.0721899 4.5852854,-74.0721202 4.5854618,-74.0719217 4.5856543,-74.071691 4.5854779,-74.0711492 4.5850608,-74.0710151 4.5851998,-74.0709024 4.5849646,-74.0708408 4.5848523,-74.0709508 4.5847694,-74.0710607 4.5847828,-74.0711492 4.5848602,-74.0712377 4.5848121,-74.0711599 4.5846972,-74.0712163 4.5846197,-74.0712887 4.584494,-74.0713826 4.584526,-74.0715341 4.5845327,-74.0716937 4.5845314,-74.0719083 4.5846357,-74.0720451 4.5848041,-74.0722651 4.5849966))","{""type"":""Polygon"",""coordinates"":[[[-74.0722651,4.5849966],[-74.0721899,4.5852854],[-74.0721202,4.5854618],[-74.0719217,4.5856543],[-74.071691,4.5854779],[-74.0711492,4.5850608],[-74.0710151,4.5851998],[-74.0709024,4.5849646],[-74.0708408,4.5848523],[-74.0709508,4.5847694],[-74.0710607,4.5847828],[-74.0711492,4.5848602],[-74.0712377,4.5848121],[-74.0711599,4.5846972],[-74.0712163,4.5846197],[-74.0712887,4.584494],[-74.0713826,4.584526],[-74.0715341,4.5845327],[-74.0716937,4.5845314],[-74.0719083,4.5846357],[-74.0720451,4.5848041],[-74.0722651,4.5849966]]]}"
60,Vereda fátima,Santafé,1865,120,480,1865,No,Más del 50%,2015-12-09T16:32:00.293Z,No,No,No,No,No,No,Si,No,POINT (-74.0649141666667 4.59582416666667),"POLYGON((-74.0654737 4.5962579,-74.0652752 4.5960547,-74.0650874 4.5960279,-74.0648245 4.5960219,-74.0647494 4.5959998,-74.0645939 4.5958702,-74.0645429 4.5957446,-74.0645081 4.5954879,-74.0645778 4.5954077,-74.0648299 4.5955681,-74.0655434 4.5961295,-74.0654737 4.5962579))","{""type"":""Polygon"",""coordinates"":[[[-74.0654737,4.5962579],[-74.0652752,4.5960547],[-74.0650874,4.5960279],[-74.0648245,4.5960219],[-74.0647494,4.5959998],[-74.0645939,4.5958702],[-74.0645429,4.5957446],[-74.0645081,4.5954879],[-74.0645778,4.5954077],[-74.0648299,4.5955681],[-74.0655434,4.5961295],[-74.0654737,4.5962579]]]}"
61,Cartagena Baja,Santafé,1998,25,100,1998,No,Más del 50%,2015-12-09T16:43:28.513Z,Si,Si,No,Si,Si,Si,Si,Si,POINT (-74.0757563888889 4.58099944444444),"POLYGON((-74.0766209 4.5810717,-74.0764761 4.581414,-74.0763956 4.5815156,-74.0762562 4.5815476,-74.0760362 4.5814781,-74.0757734 4.5813551,-74.0755802 4.5812589,-74.075484 4.581112,-74.0754193 4.5810183,-74.075295 4.580908,-74.075019 4.581228,-74.0747327 4.5810236,-74.074856 4.5808685,-74.0751082 4.5807081,-74.0751672 4.5807509,-74.0752423 4.580676,-74.0753067 4.5804568,-74.0753871 4.5803819,-74.0766209 4.5810717))","{""type"":""Polygon"",""coordinates"":[[[-74.0766209,4.5810717],[-74.0764761,4.581414],[-74.0763956,4.5815156],[-74.0762562,4.5815476],[-74.0760362,4.5814781],[-74.0757734,4.5813551],[-74.0755802,4.5812589],[-74.075484,4.581112],[-74.0754193,4.5810183],[-74.075295,4.580908],[-74.075019,4.581228],[-74.0747327,4.5810236],[-74.074856,4.5808685],[-74.0751082,4.5807081],[-74.0751672,4.5807509],[-74.0752423,4.580676],[-74.0753067,4.5804568],[-74.0753871,4.5803819],[-74.0766209,4.5810717]]]}"
62,Egipto Callejón de San Bruno,Santafé,,12,60,,No,Más del 50%,2015-12-09T16:39:56.386Z,No,Si,Si,No,No,No,Si,No,POINT (-74.0665875 4.59116361111111),"POLYGON((-74.0668738 4.5924881,-74.0668309 4.5922207,-74.0665895 4.5921352,-74.0664285 4.5920443,-74.0662676 4.5919641,-74.0662783 4.5921833,-74.0659511 4.5921726,-74.0659082 4.5920389,-74.0656024 4.5919427,-74.0656453 4.5915577,-74.0654254 4.5914721,-74.0654254 4.5913438,-74.0651572 4.5912689,-74.0644705 4.590916,-74.0645349 4.5906166,-74.0648514 4.5906914,-74.0649748 4.5906487,-74.0650928 4.5904187,-74.065243 4.590269,-74.0654308 4.5895846,-74.0655434 4.5896273,-74.0655059 4.5901621,-74.0657043 4.5902423,-74.0658385 4.5902476,-74.0660745 4.5901193,-74.0662408 4.5901193,-74.0666056 4.5901941,-74.0666914 4.5899321,-74.067201 4.5900765,-74.067421 4.5903171,-74.0675819 4.5904562,-74.0677053 4.5906754,-74.0678018 4.5907716,-74.0680325 4.5908893,-74.068198 4.590968,-74.0682149 4.5910871,-74.0681934 4.5913224,-74.068193 4.591654,-74.068204 4.591935,-74.06807 4.592052,-74.0678421 4.5920817,-74.067724 4.592309,-74.0676624 4.5923464,-74.0675175 4.5923678,-74.0674397 4.5925416,-74.0670267 4.5925416,-74.0669381 4.5925014,-74.0668738 4.5924881))","{""type"":""Polygon"",""coordinates"":[[[-74.0668738,4.5924881],[-74.0668309,4.5922207],[-74.0665895,4.5921352],[-74.0664285,4.5920443],[-74.0662676,4.5919641],[-74.0662783,4.5921833],[-74.0659511,4.5921726],[-74.0659082,4.5920389],[-74.0656024,4.5919427],[-74.0656453,4.5915577],[-74.0654254,4.5914721],[-74.0654254,4.5913438],[-74.0651572,4.5912689],[-74.0644705,4.590916],[-74.0645349,4.5906166],[-74.0648514,4.5906914],[-74.0649748,4.5906487],[-74.0650928,4.5904187],[-74.065243,4.590269],[-74.0654308,4.5895846],[-74.0655434,4.5896273],[-74.0655059,4.5901621],[-74.0657043,4.5902423],[-74.0658385,4.5902476],[-74.0660745,4.5901193],[-74.0662408,4.5901193],[-74.0666056,4.5901941],[-74.0666914,4.5899321],[-74.067201,4.5900765],[-74.067421,4.5903171],[-74.0675819,4.5904562],[-74.0677053,4.5906754],[-74.0678018,4.5907716],[-74.0680325,4.5908893],[-74.068198,4.590968],[-74.0682149,4.5910871],[-74.0681934,4.5913224],[-74.068193,4.591654],[-74.068204,4.591935],[-74.06807,4.592052],[-74.0678421,4.5920817],[-74.067724,4.592309],[-74.0676624,4.5923464],[-74.0675175,4.5923678],[-74.0674397,4.5925416],[-74.0670267,4.5925416],[-74.0669381,4.5925014],[-74.0668738,4.5924881]]]}"
63,El Pueblito Calvo sur,San Cristobal,1990,46,110,1990,Si,Menos del 50%,2015-12-09T16:44:45.780Z,No,Si,No,Si,No,No,Si,No,POINT (-74.0825416666667 4.58540583333333),"POLYGON((-74.0827551 4.5852961,-74.0823555 4.5858896,-74.0819639 4.5858094,-74.082149 4.584748,-74.082447 4.58499,-74.0827551 4.5852961))","{""type"":""Polygon"",""coordinates"":[[[-74.0827551,4.5852961],[-74.0823555,4.5858896],[-74.0819639,4.5858094],[-74.082149,4.584748],[-74.082447,4.58499],[-74.0827551,4.5852961]]]}"
64,Gran Colombia,Santafé,1975,300,1200,1975,No,Más del 50%,2015-12-09T17:14:37.483Z,Si,Si,Si,Si,Si,No,No,No,POINT (-74.0767211111111 4.57990944444445),"POLYGON((-74.0732414 4.5697889,-74.072957 4.5701739,-74.0728229 4.5702488,-74.0724045 4.5702488,-74.0717769 4.5702701,-74.0713638 4.5702541,-74.0708649 4.570083,-74.0703607 4.5698531,-74.0700334 4.5696606,-74.0701461 4.5693878,-74.0702587 4.5692648,-74.0704197 4.5692648,-74.0708435 4.569436,-74.0709239 4.5693504,-74.0708917 4.5692274,-74.0708756 4.5690777,-74.0702105 4.5687141,-74.0699691 4.5685162,-74.0701032 4.5681259,-74.070366 4.5676285,-74.0706557 4.5673879,-74.0710849 4.5677408,-74.0712297 4.568067,-74.0714282 4.5682168,-74.0715837 4.5683932,-74.0715677 4.5684895,-74.0715033 4.5685804,-74.071734 4.568682,-74.0719968 4.5687248,-74.072088 4.568821,-74.072147 4.569141,-74.0722489 4.5692969,-74.0723777 4.5694787,-74.072485 4.5695643,-74.0726727 4.569591,-74.072721 4.5695269,-74.0729088 4.5695857,-74.0730429 4.5696392,-74.0732414 4.5697889))","{""type"":""Polygon"",""coordinates"":[[[-74.0732414,4.5697889],[-74.072957,4.5701739],[-74.0728229,4.5702488],[-74.0724045,4.5702488],[-74.0717769,4.5702701],[-74.0713638,4.5702541],[-74.0708649,4.570083],[-74.0703607,4.5698531],[-74.0700334,4.5696606],[-74.0701461,4.5693878],[-74.0702587,4.5692648],[-74.0704197,4.5692648],[-74.0708435,4.569436],[-74.0709239,4.5693504],[-74.0708917,4.5692274],[-74.0708756,4.5690777],[-74.0702105,4.5687141],[-74.0699691,4.5685162],[-74.0701032,4.5681259],[-74.070366,4.5676285],[-74.0706557,4.5673879],[-74.0710849,4.5677408],[-74.0712297,4.568067],[-74.0714282,4.5682168],[-74.0715837,4.5683932],[-74.0715677,4.5684895],[-74.0715033,4.5685804],[-74.071734,4.568682],[-74.0719968,4.5687248],[-74.072088,4.568821],[-74.072147,4.569141],[-74.0722489,4.5692969],[-74.0723777,4.5694787],[-74.072485,4.5695643],[-74.0726727,4.569591],[-74.072721,4.5695269],[-74.0729088,4.5695857],[-74.0730429,4.5696392],[-74.0732414,4.5697889]]]}"
65,La Paz Bosque izquierdo,Santafé,1969,80,500,1969,No,Más del 50%,2015-12-09T17:15:14.356Z,Si,No,Si,No,No,No,No,No,POINT (-74.0648908333333 4.6068375),"POLYGON((-74.0656883 4.6071125,-74.065581 4.6071286,-74.0655702 4.6073638,-74.0655059 4.607551,-74.0654254 4.6076098,-74.0653235 4.6076365,-74.0651894 4.6076686,-74.0650445 4.6077702,-74.064895 4.607741,-74.0647334 4.6080108,-74.0645885 4.6079467,-74.064551 4.6076258,-74.0644008 4.6072141,-74.064369 4.607148,-74.0642881 4.6071018,-74.0641487 4.607059,-74.0641379 4.6070216,-74.0641379 4.6069307,-74.0642238 4.6068291,-74.0643632 4.6067168,-74.0643847 4.6063746,-74.0644062 4.606257,-74.0642238 4.6062677,-74.0642077 4.606134,-74.064374 4.6061019,-74.064315 4.6058078,-74.0644115 4.6057223,-74.0644598 4.6057811,-74.0646744 4.6057811,-74.0650338 4.6059308,-74.0652001 4.6060859,-74.0653235 4.6062409,-74.0655327 4.6067168,-74.0656883 4.6071125))","{""type"":""Polygon"",""coordinates"":[[[-74.0656883,4.6071125],[-74.065581,4.6071286],[-74.0655702,4.6073638],[-74.0655059,4.607551],[-74.0654254,4.6076098],[-74.0653235,4.6076365],[-74.0651894,4.6076686],[-74.0650445,4.6077702],[-74.064895,4.607741],[-74.0647334,4.6080108],[-74.0645885,4.6079467],[-74.064551,4.6076258],[-74.0644008,4.6072141],[-74.064369,4.607148],[-74.0642881,4.6071018],[-74.0641487,4.607059],[-74.0641379,4.6070216],[-74.0641379,4.6069307],[-74.0642238,4.6068291],[-74.0643632,4.6067168],[-74.0643847,4.6063746],[-74.0644062,4.606257],[-74.0642238,4.6062677],[-74.0642077,4.606134],[-74.064374,4.6061019],[-74.064315,4.6058078],[-74.0644115,4.6057223],[-74.0644598,4.6057811],[-74.0646744,4.6057811],[-74.0650338,4.6059308],[-74.0652001,4.6060859],[-74.0653235,4.6062409],[-74.0655327,4.6067168],[-74.0656883,4.6071125]]]}"
66,La Selva,San Cristobal,1905,50,250,1905,No,Más del 50%,2015-12-09T17:16:03.856Z,No,Si,Si,Si,No,No,Si,No,POINT (-74.06936 4.57759833333333),"POLYGON((-74.0699852 4.5780184,-74.0695002 4.5778579,-74.0688066 4.577784,-74.0683973 4.5776619,-74.0685944 4.5773807,-74.0687164 4.5773455,-74.0689015 4.5770238,-74.0696941 4.5774936,-74.0702963 4.5776227,-74.0703714 4.5778473,-74.070071 4.5780452,-74.0699852 4.5780184))","{""type"":""Polygon"",""coordinates"":[[[-74.0699852,4.5780184],[-74.0695002,4.5778579],[-74.0688066,4.577784],[-74.0683973,4.5776619],[-74.0685944,4.5773807],[-74.0687164,4.5773455],[-74.0689015,4.5770238],[-74.0696941,4.5774936],[-74.0702963,4.5776227],[-74.0703714,4.5778473],[-74.070071,4.5780452],[-74.0699852,4.5780184]]]}"
67,Las Aguas,Santafé,1997,24,,1997,No,Más del 50%,2015-12-09T17:18:37.950Z,Si,Si,Si,Si,Si,No,Si,No,POINT (-74.0651536111111 4.60492583333333),"POLYGON((-74.0649962 4.605471,-74.0648031 4.6052838,-74.0646851 4.6050485,-74.064669 4.6048454,-74.0647334 4.6046208,-74.0648139 4.6044711,-74.0646905 4.6042625,-74.0646476 4.6040379,-74.0646368 4.6038829,-74.0645939 4.6037385,-74.0645349 4.603562,-74.0644008 4.6033802,-74.0644491 4.6033268,-74.0646368 4.6034818,-74.0648353 4.6037973,-74.0649962 4.6040861,-74.0652591 4.6044711,-74.0653342 4.6045406,-74.0656239 4.6047758,-74.0654844 4.6049683,-74.0655702 4.6050485,-74.0654576 4.605241,-74.065581 4.6052945,-74.0659538 4.6055592,-74.065711 4.6059643,-74.0652537 4.6058453,-74.0649962 4.605471))","{""type"":""Polygon"",""coordinates"":[[[-74.0649962,4.605471],[-74.0648031,4.6052838],[-74.0646851,4.6050485],[-74.064669,4.6048454],[-74.0647334,4.6046208],[-74.0648139,4.6044711],[-74.0646905,4.6042625],[-74.0646476,4.6040379],[-74.0646368,4.6038829],[-74.0645939,4.6037385],[-74.0645349,4.603562],[-74.0644008,4.6033802],[-74.0644491,4.6033268],[-74.0646368,4.6034818],[-74.0648353,4.6037973],[-74.0649962,4.6040861],[-74.0652591,4.6044711],[-74.0653342,4.6045406],[-74.0656239,4.6047758],[-74.0654844,4.6049683],[-74.0655702,4.6050485],[-74.0654576,4.605241],[-74.065581,4.6052945],[-74.0659538,4.6055592],[-74.065711,4.6059643],[-74.0652537,4.6058453],[-74.0649962,4.605471]]]}"
68,El pueblito - Ramirez,Santafé,,,350,,Si,Menos del 50%,2015-12-09T17:19:30.810Z,No,No,Si,Si,No,No,Si,Si,POINT (-74.0744625 4.58275166666667),"POLYGON((-74.0748373 4.5835529,-74.0744698 4.5833764,-74.0744349 4.5832588,-74.0745181 4.583101,-74.0743572 4.5830288,-74.0741426 4.5830155,-74.0739521 4.5826385,-74.0738046 4.5825583,-74.0739441 4.5824299,-74.0742633 4.582077,-74.0743357 4.582085,-74.0747166 4.5823177,-74.0747917 4.5823818,-74.0747836 4.5824406,-74.0748185 4.5825155,-74.0747863 4.5826278,-74.0748399 4.5826572,-74.0747783 4.5828256,-74.0748775 4.5828898,-74.0749365 4.5831171,-74.0749365 4.5831732,-74.0748373 4.5835529))","{""type"":""Polygon"",""coordinates"":[[[-74.0748373,4.5835529],[-74.0744698,4.5833764],[-74.0744349,4.5832588],[-74.0745181,4.583101],[-74.0743572,4.5830288],[-74.0741426,4.5830155],[-74.0739521,4.5826385],[-74.0738046,4.5825583],[-74.0739441,4.5824299],[-74.0742633,4.582077],[-74.0743357,4.582085],[-74.0747166,4.5823177],[-74.0747917,4.5823818],[-74.0747836,4.5824406],[-74.0748185,4.5825155],[-74.0747863,4.5826278],[-74.0748399,4.5826572],[-74.0747783,4.5828256],[-74.0748775,4.5828898],[-74.0749365,4.5831171],[-74.0749365,4.5831732],[-74.0748373,4.5835529]]]}"
69,La gran Colombia,San Cristobal,1959,150,1000,1959,No,Más del 50%,2015-12-09T17:20:17.233Z,No,Si,Si,Si,Si,Si,Si,No,POINT (-74.0713255555556 4.56914777777778),"POLYGON((-74.0772325 4.5809755,-74.076696 4.5805424,-74.0762132 4.5800878,-74.076283 4.5799862,-74.0763259 4.579783,-74.0759987 4.5796066,-74.0758538 4.5796601,-74.0757519 4.5796601,-74.0757036 4.5794782,-74.0756124 4.5791681,-74.075489 4.5788098,-74.0755427 4.5787403,-74.075692 4.578787,-74.0759343 4.578997,-74.076158 4.579079,-74.0762401 4.5791414,-74.0766102 4.5792376,-74.0769857 4.5794248,-74.0770715 4.5794889,-74.0771842 4.5795745,-74.0772915 4.5797349,-74.0774256 4.5799114,-74.0775597 4.580136,-74.0777367 4.5804194,-74.0776187 4.5807937,-74.077611 4.580873,-74.077548 4.580904,-74.077461 4.580948,-74.0773934 4.5809594,-74.0772325 4.5809755))","{""type"":""Polygon"",""coordinates"":[[[-74.0772325,4.5809755],[-74.076696,4.5805424],[-74.0762132,4.5800878],[-74.076283,4.5799862],[-74.0763259,4.579783],[-74.0759987,4.5796066],[-74.0758538,4.5796601],[-74.0757519,4.5796601],[-74.0757036,4.5794782],[-74.0756124,4.5791681],[-74.075489,4.5788098],[-74.0755427,4.5787403],[-74.075692,4.578787],[-74.0759343,4.578997],[-74.076158,4.579079],[-74.0762401,4.5791414],[-74.0766102,4.5792376],[-74.0769857,4.5794248],[-74.0770715,4.5794889],[-74.0771842,4.5795745],[-74.0772915,4.5797349],[-74.0774256,4.5799114],[-74.0775597,4.580136],[-74.0777367,4.5804194],[-74.0776187,4.5807937],[-74.077611,4.580873],[-74.077548,4.580904],[-74.077461,4.580948],[-74.0773934,4.5809594],[-74.0772325,4.5809755]]]}"
70,Ramajal,San Cristobal,,150,700,,No,Más del 50%,2015-12-09T17:21:16.810Z,Si,Si,Si,Si,Si,Si,Si,No,POINT (-74.0801827777778 4.55944416666667),"POLYGON((-74.0809876 4.5599978,-74.080199 4.5601208,-74.080023 4.560003,-74.0798986 4.5598802,-74.0794748 4.5597465,-74.0794694 4.5595753,-74.0796894 4.558939,-74.0797538 4.5587679,-74.0797913 4.5587037,-74.0798557 4.5586502,-74.0798932 4.5586395,-74.0799576 4.5586235,-74.0800488 4.5586449,-74.0805852 4.5588909,-74.0805316 4.5590085,-74.080478 4.5590994,-74.0804082 4.559201,-74.0808105 4.5595112,-74.0809232 4.5595593,-74.0809447 4.5596556,-74.0809876 4.5599978))","{""type"":""Polygon"",""coordinates"":[[[-74.0809876,4.5599978],[-74.080199,4.5601208],[-74.080023,4.560003],[-74.0798986,4.5598802],[-74.0794748,4.5597465],[-74.0794694,4.5595753],[-74.0796894,4.558939],[-74.0797538,4.5587679],[-74.0797913,4.5587037],[-74.0798557,4.5586502],[-74.0798932,4.5586395],[-74.0799576,4.5586235],[-74.0800488,4.5586449],[-74.0805852,4.5588909],[-74.0805316,4.5590085],[-74.080478,4.5590994],[-74.0804082,4.559201],[-74.0808105,4.5595112],[-74.0809232,4.5595593],[-74.0809447,4.5596556],[-74.0809876,4.5599978]]]}"
